,Analytics Desc,English,Hiragana,Kanji,Vocab Set,Example
,,"to swell (from inflammation), to become swollen",はれる,腫れる,N1,
,,"starting, inauguration",はっそく,発足,N1,
,,"to extend, to stretch out, to stand in a row",つらなる,連なる,N1,
,,"over there, the other",そちら,其方,N1,
,,"flax, linen, hemp",あさ,麻,N1,
,,"end, finishing touches, being finished",しあげ,仕上げ,N1,
,,"fate, destiny, predestination",しゅくめい,宿命,N1,
,,"optical illusion, hallucination",さっかく,錯覚,N1,
,,"smoky, feeling awkward",けむたい,煙たい,N1,
,,"to carry off, to run away with, to kidnap, to abduct",さらう,拐う,N1,
,,"to challenge, to call somebody to halt",よびとめる,呼び止める,N1,
,,"before long, soon, at length",やがて,軈て,N1,
,,"passage, expiration, progress",けいか,経過,N1,
,,"dumbfounded, overcome with surprise, in blank amazement",ぼうぜん,呆然,N1,
,,"project, enterprise, business, industry, operations",じぎょう,事業,N1,
,,sunburn,ひやけ,日焼け,N1,
,,"matter, item, facts",じこう,事項,N1,
,,"dirt, filth",あか,垢,N1,
,,"to shout, to yell",どなる,怒鳴る,N1,
,,"exactly, precisely",きっかり,,N1,
,,"bad harvest, poor crop",きょうさく,凶作,N1,
,,"to pierce, to permeate",しみる,染みる,N1,
,,"inefficiency, incompetence",むのう,無能,N1,
,,"prospering, prosperity, thriving, flourishing",はんえい,繁栄,N1,
,,"essential, fundamental, crucial, vital, main",かんじん,肝心,N1,
,,"orbit, railroad track",きどう,軌道,N1,
,,(fr:) (n) rough sketch (fr: dessin),デッサン,,N1,
,,consecutive holidays,れんきゅう,連休,N1,
,,"(bank) balance, remainder",ざんだか,残高,N1,
,,landlord,いえぬし,家主,N1,
,,"gentle, affectionate",やさ,優,N1,
,,"to sever, to cut off, to suppress, to abstain (from)",たつ,絶つ,N1,
,,remaining money,ざんきん,残金,N1,
,,"to deceive, to falsify, to misrepresent",ごまかす,誤魔化す,N1,
,,"reason, sense",りせい,理性,N1,
,,"suborder, subfamily",あか,亜科,N1,
,,decoration,デコレーション,,N1,
,,listening comprehension,ききとり,聞き取り,N1,
,,delicious,うまい,甘い,N1,
,,public (institution),こうりつ,公立,N1,
,,"to loosen, to slow down",ゆるめる,緩める,N1,
,,strike,ストライキ,,N1,
,,massage,マッサージ,,N1,
,,"noble, aristocrat",きぞく,貴族,N1,
,,"1. manners, customs, 2. sex service, sex industry",ふうぞく,風俗,N1,
,,Go board,ごばん,碁盤,N1,
,,to pass (examination),うかる,受かる,N1,
,,"prosperity, flourishing, thriving",はんじょう,繁盛,N1,
,,"profit, returns",りじゅん,利潤,N1,
,,"to come apart at the seams, to begin to open, to smile broadly",ほころびる,綻びる,N1,
,,"to be out of, to have no more at hand",できる,出切る,N1,
,,"cut, cutting",カット,,N1,
,,"duty, function, office, mission, task",にんむ,任務,N1,
,,"limit, localize",きょくげん,局限,N1,
,,radioactivity,ほうしゃのう,放射能,N1,
,,"bridge building, mediation",はしわたし,橋渡し,N1,
,,temperature,ねつりょう,熱量,N1,
,,"to overlook, to fail to notice",みおとす,見落とす,N1,
,,eighth sign of Chinese zodiac (The Ram 1pm-3pm south-southwest June),ひつじ,未,N1,
,,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)",うながす,促す,N1,
,,"sound or act of dragging, loose, inconclusive but unwanted situation, trailingly",ずるずる,,N1,
,,iron manufacture,せいてつ,製鉄,N1,
,,"military or naval operations, tactics, strategy",さくせん,作戦,N1,
,,"pimple, acne",にきび,面皰,N1,
,,Shinto shrine,やしろ,社,N1,
,,regulation,きせい,規制,N1,
,,(cannot) possibly,とうてい,到底,N1,
,,"vocabulary, glossary",ごい,語彙,N1,
,,"paralysis, palsy, numbness, stupor",まひ,麻痺,N1,
,,"abolition, repeal",はいし,廃止,N1,
,,"to guess, to sense, to presume, to judge, to sympathize with",さっする,察する,N1,
,,"at a glance, by accident",ちらっと,,N1,
,,"surely, no doubt, evidently",まさしく,正しく,N1,
,,"reform, reformation, innovation",かいかく,改革,N1,
,,"textile, fabric",おりもの,織物,N1,
,,"antipathy, revolt, animosity",はんかん,反感,N1,
,,"low rank, subordinate, lower order (e.g. byte)",かい,下位,N1,
,,local,じもと,地元,N1,
,,"receiving, acceptance",うけいれ,受け入れ,N1,
,,"to shake, to jolt, to rock, to swing",ゆさぶる,揺さぶる,N1,
,,auspicious,めでたい,愛でたい,N1,
,,"transactions, dealings, business",とりひき,取り引き,N1,
,,"lamp, ramp, headlight, light",ランプ,,N1,
,,"all people, everybody, 10000 people",ばんじん,万人,N1,
,,"dynamic, kinetic",どうてき,動的,N1,
,,"rear, rear unit guard",しんがり,殿,N1,
,,"battle, fight, combat",せんとう,戦闘,N1,
,,"finish, completion, understanding",りょう,了,N1,
,,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort",はげむ,励む,N1,
,,uniform,ユニフォーム,,N1,
,,"improvement, reform",かいりょう,改良,N1,
,,pump,ポンプ,,N1,
,,professional duties,しょくむ,職務,N1,
,,"a little, small quantity",きん,僅,N1,
,,"hibernation, winter sleep",とうみん,冬眠,N1,
,,"document, writing, letter, note, records, archives",ぶんしょ,文書,N1,
,,"good prospects, full of hope, promising",ゆうぼう,有望,N1,
,,"enemy, rival",かたき,敵,N1,
,,exaggeration,こちょう,誇張,N1,
,,"cold storage, refrigeration",れいぞう,冷蔵,N1,
,,"free time, leisure, leave, spare time, farewell",いとま,暇,N1,
,,"beak, bill",くちばし,嘴,N1,
,,palace,きゅうでん,宮殿,N1,
,,"to kick away, to kick off, to kick (someone), to refuse, to reject",けとばす,蹴飛ばす,N1,
,,shock,ショック,,N1,
,,"interior, inside, internal",ないぶ,内部,N1,
,,"customary practice, habit, traditional event",かんこう,慣行,N1,
,,"holiness, sacredness, dignity",しんせい,神聖,N1,
,,"moment, instant",とっさ,咄嗟,N1,
,,"sour, acid",すっぱい,酸っぱい,N1,
,,"solidly built, tightly, shrewd, calculating",がっちり,,N1,
,,"mess, spoiled, (come to) nothing",だいなし,台無し,N1,
,,"agreement, rules, code",きやく,規約,N1,
,,fixation,こてい,固定,N1,
,,"school lunch, providing a meal",きゅうしょく,給食,N1,
,,"to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int",うちこむ,打ち込む,N1,
,,"ornamentation, embellishment, decoration, adornment, polish up (writing), modification (gram)",しゅうしょく,修飾,N1,
,,"exhibition, display",てんじ,展示,N1,
,,business,ようけん,用件,N1,
,,"to scoop, to ladle out",すくう,掬う,N1,
,,ball,まり,鞠,N1,
,,"fidelity, faithfulness",ちゅうじつ,忠実,N1,
,,"and, like that",そうして,然うして,N1,
,,"subsidy, deduction",こうじょ,控除,N1,
,,"number of moves, trouble",てかず,手数,N1,
,,"boiling, seething",ふっとう,沸騰,N1,
,,"future prospects, outlook, the journey ahead",ぜんと,前途,N1,
,,public prosecutor,けんじ,検事,N1,
,,this,これ,此れ,N1,
,,"agreement, concurrence, conforming to",がっち,合致,N1,
,,"groin, crotch, thigh",また,股,N1,
,,"axis, stem, shaft, axle",じく,軸,N1,
,,"transfer, transmission",てんきん,転勤,N1,
,,"funny, humorous, comical, laughable, ridiculous, joking",こっけい,滑稽,N1,
,,to wake up,めざめる,目覚める,N1,
,,"to go, to proceed, to repair to, to become",おもむく,赴く,N1,
,,"to write down, to take dictation, to take notes",かきとる,書き取る,N1,
,,atom,げんし,原子,N1,
,,"restraint, shackles, restriction, confinement, binding",そくばく,束縛,N1,
,,cross section,だんめん,断面,N1,
,,"firm, vigorous, unbending, unyielding, strong, stubborn",きょうこう,強硬,N1,
,,"next, secondly, subsequently",ついで,次いで,N1,
,,"what, how, whatever",なんと,何と,N1,
,,"which, who",どちら,何方,N1,
,,anaesthesia,ますい,麻酔,N1,
,,"individuality, personality, idiosyncrasy",こせい,個性,N1,
,,tile,タイル,,N1,
,,substitution,だいよう,代用,N1,
,,"reappearance, reproduction, return, revival",さいげん,再現,N1,
,,"collation, comparison",しょうごう,照合,N1,
,,"to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b",おそれいる,恐れ入る,N1,
,,"to donate, to give, to conduct, to apply, to perform",ほどこす,施す,N1,
,,dramatization (e.g. film),きゃくしょく,脚色,N1,
,,to shave,する,剃る,N1,
,,to point at,ゆびさす,指差す,N1,
,,harmony,ちょうわ,調和,N1,
,,short (build),こがら,小柄,N1,
,,"place, situation, position, location",いち,位地,N1,
,,"post, managerial position, official position",やくしょく,役職,N1,
,,"1. if (conjunction), 2. promoted pawn (shogi) (abbr)",と,,N1,
,,"to become settled, to be fixed",さだまる,定まる,N1,
,,theory,がくせつ,学説,N1,
,,"related, connected, close, intimate",みっせつ,密接,N1,
,,"group, party, section (mil)",はん,班,N1,
,,"especially, above all",とりわけ,取り分,N1,
,,"right in front, under the nose",まんまえ,真ん前,N1,
,,conscience,りょうしん,良心,N1,
,,show,ショー,,N1,
,,"to revive, to resuscitate, to make use of",いかす,生かす,N1,
,,"being disheartened, losing weight",げっそり,,N1,
,,"organ (of body), instrument",きかん,器官,N1,
,,"resolution, vote, decision",けつぎ,決議,N1,
,,"to finish, to close, to do something completely, to put away, to put an end to",しまう,仕舞う,N1,
,,drainage,はいすい,排水,N1,
,,media,メディア,,N1,
,,"cycle, period",しゅうき,周期,N1,
,,"nimble, smart, quick",すばしこい,,N1,
,,control,コントロール,,N1,
,,"fields, outskirts, open air, suburbs",やがい,野外,N1,
,,likes and dislikes,あいにく,愛憎,N1,
,,"to give birth, to deliver, to produce",うむ,産む,N1,
,,"to seize, to grasp, to capture, to arrest",とらえる,捕らえる,N1,
,,proportion,ひれい,比例,N1,
,,"flattery, compliment",せじ,世辞,N1,
,,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",こらえる,堪える,N1,
,,mining,さいくつ,採掘,N1,
,,"and so on, and so forth, comment",うんぬん,云々,N1,
,,"extra, additional, less objectionable, better, preferable",まし,増し,N1,
,,(photographic) negative,ネガ,,N1,
,,"to die out, to peter out, to become extinct",たえる,絶える,N1,
,,efficiency,こうりつ,効率,N1,
,,"clearly, plainly, distinctly",きっぱり,,N1,
,,town hall,やくば,役場,N1,
,,"1. hold, charge, keep possession, in charge, 2. wear, durability, life, draw, 3. usage (suff)",もち,持ち,N1,
,,"confusion, mixing, merger",こんどう,混同,N1,
,,"outline, summary",あらすじ,粗筋,N1,
,,addition,たしざん,足し算,N1,
,,sales,うれゆき,売れ行き,N1,
,,"hostage, prisoner",ひとじち,人質,N1,
,,"subject, theme, motif",しゅだい,主題,N1,
,,"good-for-nothing, stupid, trivial, worthless",くだらない,下らない,N1,
,,"sincerity, devotion",まこころ,真心,N1,
,,"origin, beginning, rise",きげん,起源,N1,
,,"besides, in addition, the rest",そのほか,その外,N1,
,,"attached to, belong to",しょぞく,所属,N1,
,,napkin,ナプキン,,N1,
,,"vigor, active",かっぱつ,活発,N1,
,,"reaching, attaining, arrival",とうたつ,到達,N1,
,,rice seedling,なえ,苗,N1,
,,"agreement, consent, mutual understanding",ごうい,合意,N1,
,,"physiology, menses",せいり,生理,N1,
,,"self-respect, conceit",じそんしん,自尊心,N1,
,,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to, to",かたぶく,傾く,N1,
,,"priceless treasure, convenience, usefulness",じゅうほう,重宝,N1,
,,"observation, guarding, inspection, surveillance",かんし,監視,N1,
,,"fault, error, indiscretion",あやまち,過ち,N1,
,,"fullness, completion, perfection, substantiality, enrichment",じゅうじつ,充実,N1,
,,"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex",そえる,添える,N1,
,,"to combine, to join, to tie on, to attach with a knot",むすびつける,結び付ける,N1,
,,"to be connected or related, to join together",むすびつく,結び付く,N1,
,,"subject, curriculum",きょうか,教科,N1,
,,"to (happen to) see, to notice, to catch sight of",みかける,見掛ける,N1,
,,"spectacles, glasses",がんきょう,眼鏡,N1,
,,"elimination, erasing, dying out, melting away",しょうきょ,消去,N1,
,,"to become less capable, to grow dull, to become blunt, to weaken",なまる,鈍る,N1,
,,"old people, the aged",としより,年寄り,N1,
,,before,せん,前,N1,
,,"the one concerned, the said person",とうにん,当人,N1,
,,"circuit, lap, circumference, vicinity, Chou (dynasty)",しゅう,周,N1,
,,nonsense,ナンセンス,,N1,
,,"physique, constitution",たいかく,体格,N1,
,,"to be hurt, to be wounded, to get injured",きずつく,傷付く,N1,
,,"chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth",おしゃべり,お喋り,N1,
,,"regular, legal, formal, established, legitimate",せいき,正規,N1,
,,"humanity, empathy, kindness, sympathy, human nature, common sense, customs and manners",にんじょう,人情,N1,
,,"to bring, to take, to bring about",もたらす,齎らす,N1,
,,Minister of Finance,ぞうしょう,蔵相,N1,
,,"thickheadedness, stolidity",どんかん,鈍感,N1,
,,member,いん,員,N1,
,,"here and there, some parts (of something)",しょしょ,所々,N1,
,,"to herd, to corner, to drive",おいこむ,追い込む,N1,
,,"sorry, excuse me",すみません,済みません,N1,
,,transportation,うんゆ,運輸,N1,
,,wholesale store,といや,問屋,N1,
,,fine powder,ふんまつ,粉末,N1,
,,"to encourage, to cheer, to raise (the voice)",はげます,励ます,N1,
,,"marriage, married",きこん,既婚,N1,
,,personal appearance,みなり,身なり,N1,
,,bedding,やぐ,夜具,N1,
,,"not yet fixed, undecided, pending",みてい,未定,N1,
,,"abundantly, innumerably",おびただしい,夥しい,N1,
,,dew,つゆ,露,N1,
,,"fraud, swindle",さぎ,詐欺,N1,
,,public performance,こうえん,公演,N1,
,,"(sudden) change, reversal, turn-around, coming from behind (baseball)",ぎゃくてん,逆転,N1,
,,"promotion, successful career, eminence",しゅっせ,出世,N1,
,,"nearness, before long",きんきん,近々,N1,
,,"to lay waste, to devastate, to damage, to invade, to break into",あらす,荒らす,N1,
,,"price reduction, discount",ねびき,値引き,N1,
,,"useless, futility, needlessness, unnecessariness",むよう,無用,N1,
,,"fear, horror",おそれ,恐れ,N1,
,,"recognition, cognizance",にんしき,認識,N1,
,,suffocation,ちっそく,窒息,N1,
,,"ingenious, skillful, clever, deft",こうみょう,巧妙,N1,
,,"actual spot, scene, scene of the crime",げんじょう,現場,N1,
,,"left-handedness, sake drinker, left-hander",ひだりきき,左利き,N1,
,,family name,うじ,氏,N1,
,,distribution (eg. films rice),はいきゅう,配給,N1,
,,real name,ほんみょう,本名,N1,
,,"signs, omen, symptoms",きざし,兆し,N1,
,,attention,ちゃくもく,着目,N1,
,,to stir-fry,いためる,炒める,N1,
,,"inevitable, necessary",ひつぜん,必然,N1,
,,technique,しゅほう,手法,N1,
,,"miscellaneous goods, general goods, sundries",ざっか,雑貨,N1,
,,"nothing (with neg. verb), quite, not a bit",なんとも,何とも,N1,
,,"defense, protection, self-defense",ぼうえい,防衛,N1,
,,day after tomorrow,あさって,明後日,N1,
,,"considerably, fairly, quite",かなり,可成,N1,
,,"to behave like a spoiled child, to fawn on",あまえる,甘える,N1,
,,"legislation, lawmaking",りっぽう,立法,N1,
,,refusal,じたい,辞退,N1,
,,"side, row, surroundings, part, (watch) case",がわ,側,N1,
,,"breaking through, breakthrough, penetration",とっぱ,突破,N1,
,,"individual, one by one",ここ,個々,N1,
,,"to capture, to occupy, to usurp",のっとる,乗っ取る,N1,
,,arrival (in a country at work etc.),しゅっしゃ,出社,N1,
,,quiz,クイズ,,N1,
,,paulownia tree,きり,桐,N1,
,,"I am sure, certainly, no doubt",さぞ,嘸,N1,
,,"to carry on (e.g. in ceremony), to run a business",いとなむ,営む,N1,
,,"outline, summary",おおすじ,大筋,N1,
,,"super-, ultra-, hyper-",ちょう,超,N1,
,,"to lean against, to lean on, to recline on, to lie heavy (on the stomach)",もたれる,凭れる,N1,
,,"to destroy, to overthrow, to wreck, to ruin",ほろぼす,滅ぼす,N1,
,,"to change into, to convert into, to transform, to be reduced, to influence, to improve (someone)",かする,化する,N1,
,,"overflowing, flood",はんらん,氾濫,N1,
,,sink,ながし,流し,N1,
,,"to accept, to receive",うけいれる,受け入れる,N1,
,,"to become dim, to become blurred",ぼやける,,N1,
,,"to soak, to dip, to drench",ひたす,浸す,N1,
,,inland,ないりく,内陸,N1,
,,to happen to pass by,とおりかかる,通りかかる,N1,
,,good,いい,良い,N1,
,,"indication, market trend, worry",きはい,気配,N1,
,,hour,アワー,,N1,
,,"to speak ill of, to abuse",ののしる,罵る,N1,
,,"easily, readily, quickly",あっさり,,N1,
,,to smoke (e.g. fire),けむる,煙る,N1,
,,optimism,らっかん,楽観,N1,
,,screwdriver,ねじまわし,ねじ回し,N1,
,,"wink, twinkling (of stars), flicker (of light)",またたき,瞬き,N1,
,,"head, brains",しゅのう,首脳,N1,
,,"to twist, to wrench, to screw",ねじれる,捻じれる,N1,
,,(de:) (n) clinical records (de: Karte),カルテ,,N1,
,,"sky, the skies, high-altitude sky, upper air",じょうくう,上空,N1,
,,"to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair",よわる,弱る,N1,
,,"independence, autonomy",じしゅ,自主,N1,
,,progress,しんど,進度,N1,
,,playing wind instruments,すいそう,吹奏,N1,
,,sale,セール,,N1,
,,electric line,でんせん,電線,N1,
,,"illness, disease",やまい,病,N1,
,,witness,しょうにん,証人,N1,
,,"every day, prolonged",れんじつ,連日,N1,
,,"people, public",じんみん,人民,N1,
,,"where, what place",どこ,何処,N1,
,,"bat, vat",バット,,N1,
,,"declaration, proclamation, announcement",せんげん,宣言,N1,
,,"to order, to send away for",とりよせる,取り寄せる,N1,
,,newly-wed,しんこん,新婚,N1,
,,"wretched, miserable, shameful, mean, despicable, abject",あさましい,浅ましい,N1,
,,late at night,よふけ,夜更け,N1,
,,"division, sharing",ぶんぱい,分配,N1,
,,encyclopedia,ひゃっかじてん,百科辞典,N1,
,,data,データ,,N1,
,,"1. hero, gentleman, warrior, manly person, 2. good health, robustness, strong, solid, durable",じょうふ,丈夫,N1,
,,section,セクション,,N1,
,,"foundation, base, basis",どだい,土台,N1,
,,"how...!, what...!",なんて,何て,N1,
,,"majority, adult age",せいねん,成年,N1,
,,two days after tomorrow,しあさって,明々後日,N1,
,,crossroads,じゅうじろ,十字路,N1,
,,"trees and shrubs, arbour",じゅもく,樹木,N1,
,,"feeling awkward, being ashamed",きまりわるい,決まり悪い,N1,
,,"forcing, enforcement",きょうこう,強行,N1,
,,"set meal, special (of the day)",ていしょく,定食,N1,
,,"fellow, companion, comrade",どうし,同士,N1,
,,abatement,けいげん,軽減,N1,
,,"material, charge, rate, fee",りょう,料,N1,
,,"counter for suits of clothing, arriving at ..",ちゃく,著,N1,
,,"development, exploitation",かいはつ,開発,N1,
,,cane,つえ,杖,N1,
,,"goodness, excellence, virtue",ぜんりょう,善良,N1,
,,"disturbance, unrest, shaking, trembling, pitching, rolling, oscillation, agitation, excitement, commotion",どうよう,動揺,N1,
,,"various kinds of small trees, assorted trees",ざつぼく,雑木,N1,
,,"privilege, special right",とっけん,特権,N1,
,,"trade in, part exchange",したどり,下取り,N1,
,,noted product,めいさん,名産,N1,
,,"all the more, still less",なおさら,尚更,N1,
,,"blood relationship, blood relative",にくしん,肉親,N1,
,,"publication, issue",かんこう,刊行,N1,
,,"dependence, dependent, reliance",いそん,依存,N1,
,,"to pull down, to lower, to reduce, to withdraw",ひきさげる,引き下げる,N1,
,,a hit,めいちゅう,命中,N1,
,,"to accompany, to bring with, to be accompanied by, to be involved in",ともなう,伴う,N1,
,,"welfare, well-being",ふくし,福祉,N1,
,,contrast,コントラスト,,N1,
,,room,しつ,室,N1,
,,"now, come (now), well, crucial moment",いざ,,N1,
,,mark,マーク,,N1,
,,feudal lord,とのさま,殿様,N1,
,,treetop,こずえ,梢,N1,
,,"taking refuge, finding shelter",ひなん,避難,N1,
,,"trust, confidence, credence",しんにん,信任,N1,
,,"anyhow, at any rate, anyway, somehow or other, generally speaking, in any case",とにかく,兎に角,N1,
,,"relief, aid, rescue, salvation, help",きゅうさい,救済,N1,
,,"at, in, on",お,於,N1,
,,forfeited,ぼっしゅう,没収,N1,
,,"possibly, accidentally",ひょっと,,N1,
,,conjunction,せつぞくし,接続詞,N1,
,,diarrhoea,げり,下痢,N1,
,,"insignificant, boring, trifling",つまらない,詰らない,N1,
,,"reward, prize",ほうび,褒美,N1,
,,"poor, meagre, insubstantial",ひんじゃく,貧弱,N1,
,,"1. angle, 2. bishop (shogi)",かく,角,N1,
,,"to send, to forward",よこす,寄こす,N1,
,,"to yearn for, to miss, to adore, to love dearly",したう,慕う,N1,
,,verbal statement,こうじゅつ,口述,N1,
,,"industrialist, businessman",じつぎょうか,実業家,N1,
,,"wholly, solely, entirely",もっぱら,専ら,N1,
,,"1. execution, enforcing, carrying out",しぎょう,施行,N1,
,,"cabinet, (government) ministry",ないかく,内閣,N1,
,,first train,しはつ,始発,N1,
,,"cemetery, graveyard",はかち,墓地,N1,
,,nursing,かいご,介護,N1,
,,"accumulation, accumulate, store",ちくせき,蓄積,N1,
,,oral,こうとう,口頭,N1,
,,"just, justifiable, right, due, proper, equitable, reasonable, legitimate, lawful",せいとう,正当,N1,
,,"please, kindly, by all means",どうぞ,何卒,N1,
,,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t",うるおう,潤う,N1,
,,"statue, image, figure, picture, portrait",ぞう,像,N1,
,,interchange,インターチェンジ,,N1,
,,prisoner (of war),ほりょ,捕虜,N1,
,,police inspector,けいぶ,警部,N1,
,,magnetism,じき,磁気,N1,
,,"directions, rules of use",ようほう,用法,N1,
,,gold,おうごん,黄金,N1,
,,"middle, centre, mid-way",まんなか,真ん中,N1,
,,"jeans (lit: jeans pants), dungarees",ジーパン,,N1,
,,earnestly,ひたすら,一向,N1,
,,"suddenly, all of a sudden",とつじょ,突如,N1,
,,"to withdraw, to leave, to pull out, to retire",ひきあげる,引き上げる,N1,
,,"cost, expense",ひ,費,N1,
,,"disposition, nature",きだて,気立て,N1,
,,"to follow (road), to pursue (course), to follow up",たどる,辿る,N1,
,,"somewhere, anywhere, in some respects",どこか,何処か,N1,
,,"sudden, abrupt, unexpected, improvised, offhand",にわか,俄か,N1,
,,"as yet, hitherto, not yet (neg)",いまだ,未だ,N1,
,,the opposite sex,いせい,異性,N1,
,,"a glance, a look, a glimpse",いちもく,一目,N1,
,,to be proud,おごる,傲る,N1,
,,"to include, to put into",こめる,込める,N1,
,,"sure enough, as usual",あんのじょう,案の定,N1,
,,"arrangement, pact, agreement",きょうてい,協定,N1,
,,"proposal, request, claim, report, notice",もうしで,申出,N1,
,,opposition party,やとう,野党,N1,
,,flushing,すいせん,水洗,N1,
,,"example, even if, if, though, although",たとえ,仮令,N1,
,,"gradually, by degrees",だんだん,段々,N1,
,,"to rest, to suspend, to give relief",やすめる,休める,N1,
,,"real condition, actual circumstances, actual state of affairs",じつじょう,実情,N1,
,,"Bible, scriptures",せいしょ,聖書,N1,
,,approximately,ぐらい,,N1,
,,"beside(s), while, nearby",かたわら,傍ら,N1,
,,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of",はぐ,剥ぐ,N1,
,,"sound, note",ね,音,N1,
,,"retreat, backspace (BS)",こうたい,後退,N1,
,,"soon, before long, in a short time",まもなく,間もなく,N1,
,,Mrs.,ミセス,,N1,
,,"full width, large scale, drastic",おおはば,大幅,N1,
,,"balance, difference, margin",さがく,差額,N1,
,,"to spend, to devote, to waste",ついやす,費やす,N1,
,,"standard, norm",きかく,規格,N1,
,,"frank, open-hearted",しゃらく,洒落,N1,
,,"death, decease",し,死,N1,
,,"finish, end, completion",しあがり,仕上がり,N1,
,,good-bye,さようなら,左様なら,N1,
,,"hiccough, hiccup",しゃっくり,吃逆,N1,
,,"source, origin",みなもと,源,N1,
,,mobilization,どういん,動員,N1,
,,"smoothness, glassiness",なめらか,滑らか,N1,
,,crisis,きき,危機,N1,
,,eyeball,がんきゅう,眼球,N1,
,,"real intention, motive",ほんね,本音,N1,
,,"passion, enthusiasm, zeal",じょうねつ,情熱,N1,
,,"purchase, buy",こうばい,購買,N1,
,,"table with heater, (orig) charcoal brazier in a floor well",こたつ,火燵,N1,
,,"cultural assets, cultural property",ぶんかざい,文化財,N1,
,,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough",うなる,唸る,N1,
,,"convenience, accommodation, advantage, expedience",べんぎ,便宜,N1,
,,"nursing, nurturing, rearing, lactation, suckling",ほいく,保育,N1,
,,"to tackle, to wrestle with, to engage in a bout, to come to grips with",とりくむ,取り組む,N1,
,,"tea-towel, dish cloth",ふきん,布巾,N1,
,,"to throw out of order, to disarrange, to disturb",みだす,乱す,N1,
,,to add one thing to another,つけくわえる,付け加える,N1,
,,blood vessel,けっかん,血管,N1,
,,"to tailor, to make, to prepare, to train, to send (a messenger)",したてる,仕立てる,N1,
,,"to carry through, to achieve, to complete",やりとおす,遣り通す,N1,
,,"oh, ah, saw-edged perch (Niphon spinosus)",あら,,N1,
,,"to turn, to shift, to alter, to distract",てんじる,転じる,N1,
,,"to cut in, to thrust oneself into, to wedge oneself in, to muscle in on, to interrupt, to disturb",わりこむ,割り込む,N1,
,,"bud, flower bud",つぼみ,蕾,N1,
,,"engaging, pursuing, following",じゅうじ,従事,N1,
,,"conviction, confidence",かくしん,確信,N1,
,,"dizziness, giddiness",めまい,目眩,N1,
,,amateur,アマチュア,,N1,
,,"to leak, to run out",もる,漏る,N1,
,,"rearing, training, nurture, cultivation, promotion",いくせい,育成,N1,
,,black tea,こげちゃ,焦げ茶,N1,
,,"garden, park, plantation",その,園,N1,
,,"civility, courtesy, compliments, sociability, graces",あいそ,愛想,N1,
,,"ceiling, ceiling price",てんじょう,天井,N1,
,,rest,あんせい,安静,N1,
,,intervention,かいにゅう,介入,N1,
,,"to be engulfed in, to be enveloped by, to wrap up, to tuck in, to pack, to do up, to cover with, to dress i",くるむ,包む,N1,
,,"pointing out, identification",してき,指摘,N1,
,,"occasionally, frequently",まま,間々,N1,
,,"day and night, always",にちや,日夜,N1,
,,"regret, repentance",こうかい,後悔,N1,
,,"Buddhist karma, actions committed in a former life",ごう,業,N1,
,,"stillness, repose, standing still",せいし,静止,N1,
,,"to catch, to stop the blow, to react to, to take",うけとめる,受け止める,N1,
,,"to be shortened, to be contracted, to shrink",ちぢまる,縮まる,N1,
,,"reform, innovation",かくしん,革新,N1,
,,"back, rear",はいご,背後,N1,
,,"body, object",ぶったい,物体,N1,
,,"side show, entertainment",よきょう,余興,N1,
,,"fishing, angling",つり,釣り,N1,
,,"genius, prodigy, natural gift",てんさい,天才,N1,
,,"to manipulate, to operate, to pull strings",あやつる,操る,N1,
,,"no, nay, yes, well",いいえ,否,N1,
,,emergency,おうきゅう,応急,N1,
,,"challenge, defiance",ちょうせん,挑戦,N1,
,,"judging, inspection, examination, investigation",しんさ,審査,N1,
,,deliberation,しんぎ,審議,N1,
,,presentation,しんてい,進呈,N1,
,,"frightening, huge",おっかない,,N1,
,,"side, left radical of a character, inclining, inclining toward, biased",へん,偏,N1,
,,"to rouse, to swell, to rise",もりあがる,盛り上がる,N1,
,,"lunch, midday meal",ちゅうはん,昼飯,N1,
,,bank clerk,こういん,行員,N1,
,,break in the deadlock,だかい,打開,N1,
,,aroma,きひん,気品,N1,
,,"grandmother, female senior-citizen",おばあさん,お祖母さん,N1,
,,static,せいてき,静的,N1,
,,"remuneration, recompense, reward, toll",ほうしゅう,報酬,N1,
,,returning to Tokyo,ききょう,帰京,N1,
,,"seasoning, flavoring",かみ,加味,N1,
,,intuition,ちょっかん,直感,N1,
,,"1. mansion, small castle",たち,館,N1,
,,"unanimous, whole audience",まんじょう,満場,N1,
,,"consultation, conference",ごうぎ,合議,N1,
